F_max,blas_threads,ceiling,cubic_gain,headroom,lambda,max_block,max_frac_of_p,n_blocks,n_over_p,oracle_F_max,p,regime,rtol,seed,support_f1,tol,true_n_blocks
0.5034039334341907,8,751.3148009015778,378.21482602118004,0.49659606656580935,0.30000000000000004,11,0.11,46,5,0.2,100,balanced,1e-05,0,0.7248322147651006,1e-07,5
0.5174961119751167,8,751.3148009015778,388.8024883359254,0.4825038880248833,0.32,11,0.11,49,5,0.2,100,balanced,1e-05,0,0.6986301369863014,1e-07,5
0.5223704866562009,8,751.3148009015778,392.4646781789639,0.4776295133437991,0.34,11,0.11,51,5,0.2,100,balanced,1e-05,0,0.6805555555555556,1e-07,5
0.5388663967611336,8,751.3148009015778,404.8582995951417,0.46113360323886643,0.36000000000000004,11,0.11,53,5,0.2,100,balanced,1e-05,0,0.6619718309859155,1e-07,5
0.5388663967611336,8,751.3148009015778,404.8582995951417,0.46113360323886643,0.38,11,0.11,53,5,0.2,100,balanced,1e-05,0,0.6619718309859155,1e-07,5
0.4780114722753346,8,1000.0,478.0114722753346,0.5219885277246654,0.4,10,0.1,57,5,0.2,100,balanced,1e-05,0,0.6231884057971014,1e-07,5
0.5382131324004306,8,1000.0,538.2131324004306,0.46178686759956944,0.42000000000000004,10,0.1,59,5,0.2,100,balanced,1e-05,0,0.6029411764705882,1e-07,5
0.6045949214026602,8,1000.0,604.5949214026602,0.39540507859733975,0.44,10,0.1,62,5,0.2,100,balanced,1e-05,0,0.5714285714285715,1e-07,5
0.6112469437652812,8,1000.0,611.2469437652812,0.3887530562347188,0.46,10,0.1,63,5,0.2,100,balanced,1e-05,0,0.5606060606060607,1e-07,5
0.7012622720897616,8,1000.0,701.2622720897616,0.29873772791023845,0.48000000000000004,10,0.1,64,5,0.2,100,balanced,1e-05,0,0.549618320610687,1e-07,5
0.7451564828614009,8,1000.0,745.156482861401,0.2548435171385991,0.5,10,0.1,69,5,0.2,100,balanced,1e-05,0,0.49206349206349204,1e-07,5
1.0,8,1.0,1.0,0.0,0.02,100,1.0,1,5,0.2,100,balanced,1e-05,1,0.053156146179401995,1e-07,5
